rank,product_name,product_type,vendor,price_usd,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,product_age_days,derived_niche,preliminary_risk_flag,funnel_economics_flag,performance_data_completeness,monetization_score,conversion_score,promotion_score,maturity_score,confidence_score,investigation_score,phase2_score,evidence_level,why_candidate,main_concern,effective_commission_pct,est_front_end_commission_usd,net_to_price_ratio,economic_attractiveness_band,identical_listing_cluster_size
65,Glucotonic,Supplements - health,skyhighperformers,158.00,64.00,UNKNOWN,130.28,4.00,7.75,Request promotion,523,health-supplement,HIGH,NORMAL,5/5 (100%),27.44,14,7.0,10.0,10.0,7.0,75.44,EVIDENCE_RICH,$130.28 net/sale; 4% cart conversion; published performance data; 1.4y track record,vendor approval required; HIGH preliminary risk: implied treatment of a medical condition,64.0,101.12,0.825,HIGH,1
66,DentiCore,Supplements - health,DentiCore,192.82,55.00,UNKNOWN,128.81,5.00,7.39,Request promotion,921,health-supplement,HIGH,NORMAL,5/5 (100%),27.4,14,7.0,10.0,10.0,7.0,75.4,EVIDENCE_RICH,$128.81 net/sale; 5% cart conversion; published performance data; 2.5y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,55.0,106.05,0.668,HIGH,1
67,AI Profit Sniper,Software,aiprofitsniper,65.20,75.00,UNKNOWN,27.35,14.00,27.21,Promote now,480,ai-software,LOW,NORMAL,5/5 (100%),23.33,13,14.0,10.0,10.0,5.0,75.33,EVIDENCE_RICH,$27.35 net/sale; 14% cart conversion; open promotion; published performance data; 1.3y track record,high 27.21% cancellation,75.0,48.9,0.419,HIGH,1
68,The Premium Prompt Library for Smarter Affiliate Execution,Downloads,HeikoBoos,37.00,50.00,UNKNOWN,7.83,8.00,5.19,Promote now,892,make-money-online,MEDIUM,NORMAL,5/5 (100%),18.68,18.5,14.0,10.0,9.0,5.0,75.18,EVIDENCE_RICH,$7.83 net/sale; 8% cart conversion; low 5.19% cancellation; open promotion; published performance data; 2.4y track record,none material at this stage,50.0,18.5,0.212,HIGH,1
69,EndoPeak,Supplements - health,I868696,79.00,65.00,UNKNOWN,105.81,6.00,10.30,Request promotion,1070,health-supplement,HIGH,STRONG,5/5 (100%),28.62,11.5,7.0,10.0,10.0,7.0,74.12,EVIDENCE_RICH,$105.81 net/sale; 6% cart conversion; published performance data; 2.9y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,51.35,1.339,HIGH,1
70,HGH Activator,Supplements - health,NaturecastProducts,178.97,50.00,UNKNOWN,38.09,6.00,4.79,Promote now,1125,health-supplement,HIGH,NORMAL,5/5 (100%),22.61,15.5,14.0,8.0,9.0,5.0,74.11,EVIDENCE_RICH,$38.09 net/sale; 6% cart conversion; low 4.79% cancellation; open promotion; published performance data; 3.1y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,50.0,89.48,0.213,HIGH,1
71,The Wealth Signal,Downloads,thewealthsignal,52.14,75.00,UNKNOWN,37.86,15.00,10.69,Request promotion,848,forex-crypto-trading,HIGH,NORMAL,5/5 (100%),24.59,17.5,7.0,10.0,10.0,5.0,74.09,EVIDENCE_RICH,$37.86 net/sale; 15% cart conversion; published performance data; 2.3y track record,vendor approval required; HIGH preliminary risk: financial-trading promises,75.0,39.1,0.726,HIGH,1
72,Remixable - Founder Edition,Software,remixable,512.01,50.00,UNKNOWN,177.54,10.00,22.85,Promote now,1392,ai-software,LOW,NORMAL,5/5 (100%),25.0,12,14.0,8.0,10.0,5.0,74.0,EVIDENCE_RICH,$177.54 net/sale; 10% cart conversion; open promotion; published performance data; 3.8y track record,high 22.85% cancellation,50.0,256.0,0.347,HIGH,1
73,Promote Vigortrix Now!,Supplements - health,MaxiOffer,242.17,65.00,UNKNOWN,157.41,UNKNOWN,UNKNOWN,Promote now,657,health-supplement,HIGH,NORMAL,3/5 (60%),28.0,11.0,14.0,10.0,7.0,4.0,74.0,EVIDENCE_LIMITED,$157.41 net/sale; open promotion; 1.8y track record,no published conversion/cancellation data; HIGH preliminary risk: sexual-health / male-enhancement claims,65.0,157.41,0.65,HIGH,1
74,The Trained Eye Program,Member area and video courses,DenisTheMoneyMenace,230.47,70.00,UNKNOWN,161.33,UNKNOWN,UNKNOWN,Promote now,584,education-courses,LOW,NORMAL,3/5 (60%),28.0,11.0,14.0,10.0,7.0,4.0,74.0,EVIDENCE_LIMITED,$161.33 net/sale; open promotion; 1.6y track record,no published conversion/cancellation data,70.0,161.33,0.7,HIGH,1
75,Pineal 10x,Supplements - health,midasman88,273.76,65.00,UNKNOWN,177.94,UNKNOWN,UNKNOWN,Promote now,451,health-supplement,HIGH,NORMAL,3/5 (60%),28.0,11.0,14.0,10.0,7.0,4.0,74.0,EVIDENCE_LIMITED,$177.94 net/sale; open promotion; 1.2y track record,no published conversion/cancellation data; HIGH preliminary risk: pseudoscientific mechanism claims,65.0,177.94,0.65,HIGH,1
76,The Official Smoothie Diet™ 21-Day Weight Loss Program,E-books,smoothdiet,28.65,75.00,UNKNOWN,18.84,16.00,UNKNOWN,Promote now,129,weight-loss,MEDIUM,NORMAL,4/5 (80%),19.91,20.5,14.0,9.0,8.5,2.0,73.91,EVIDENCE_PARTIAL,$18.84 net/sale; 16% cart conversion; open promotion,none material at this stage,75.0,21.49,0.658,HIGH,1
77,SonoVive,Supplements - health,SonoVive,202.01,65.00,UNKNOWN,75.00,10.00,10.70,Request promotion,823,health-supplement,HIGH,NORMAL,5/5 (100%),25.26,14.5,7.0,10.0,10.0,7.0,73.76,EVIDENCE_RICH,$75.00 net/sale; 10% cart conversion; published performance data; 2.3y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,131.31,0.371,HIGH,1
78,The 24K Golden Rose,Deliverable,luxgoldenrose,232.81,60.00,UNKNOWN,139.69,UNKNOWN,UNKNOWN,Promote now,1013,health-supplement,MEDIUM,NORMAL,3/5 (60%),27.72,11.0,14.0,10.0,7.0,4.0,73.72,EVIDENCE_LIMITED,$139.69 net/sale; open promotion; 2.8y track record,no published conversion/cancellation data,60.0,139.69,0.6,HIGH,1
79,Scratch-Free in 7 Days: The Cat Owner's Guide,E-books,darrelltee,141.56,75.00,UNKNOWN,106.17,UNKNOWN,UNKNOWN,Promote now,324,pets,LOW,NORMAL,3/5 (60%),28.63,11.0,14.0,9.0,7.0,4.0,73.63,EVIDENCE_LIMITED,$106.17 net/sale; open promotion,no published conversion/cancellation data,75.0,106.17,0.75,HIGH,1
80,Diabetes Offer: Berberine Supplement,Supplements - health,simpleketo,84.38,60.00,UNKNOWN,43.34,6.00,11.68,Promote now,2138,health-supplement,HIGH,NORMAL,5/5 (100%),25.12,11.5,14.0,8.0,10.0,5.0,73.62,EVIDENCE_RICH,$43.34 net/sale; 6% cart conversion; open promotion; published performance data; 5.9y track record,HIGH preliminary risk: implied treatment of a medical condition,60.0,50.63,0.514,HIGH,1
81,Dog Potty Training in 7 Days | Earn 75% on Proven System,E-books,darrelltee,140.39,75.00,UNKNOWN,105.29,UNKNOWN,UNKNOWN,Promote now,324,fitness,MEDIUM,NORMAL,3/5 (60%),28.6,11.0,14.0,9.0,7.0,4.0,73.6,EVIDENCE_LIMITED,$105.29 net/sale; open promotion,no published conversion/cancellation data,75.0,105.29,0.75,HIGH,1
82,"SLIN — Glucose Disposal ""Carbs into Muscle""",Supplements - for slimming,enhancedlabs,269.08,50.00,UNKNOWN,134.54,UNKNOWN,UNKNOWN,Promote now,629,weight-loss,HIGH,NORMAL,3/5 (60%),27.57,11.0,14.0,10.0,7.0,4.0,73.57,EVIDENCE_LIMITED,$134.54 net/sale; open promotion; 1.7y track record,no published conversion/cancellation data; HIGH preliminary risk: implied treatment of a medical condition,50.0,134.54,0.5,HIGH,1
83,The Money Wave,Downloads,Themoneywave,42.15,75.00,UNKNOWN,25.38,17.00,12.69,Request promotion,774,other,HIGH,NORMAL,5/5 (100%),23.05,19.5,7.0,10.0,10.0,4.0,73.55,EVIDENCE_RICH,$25.38 net/sale; 17% cart conversion; published performance data; 2.1y track record,vendor approval required; HIGH preliminary risk: income / get-rich promises,75.0,31.61,0.602,HIGH,1
84,Content Creation With AI,E-books,ManikandanP,148.58,70.00,UNKNOWN,104.00,UNKNOWN,UNKNOWN,Promote now,649,ai-software,LOW,NORMAL,3/5 (60%),28.55,11.0,14.0,10.0,7.0,3.0,73.55,EVIDENCE_LIMITED,$104.00 net/sale; open promotion; 1.8y track record,no published conversion/cancellation data,70.0,104.01,0.7,HIGH,1
85,Audifort,Supplements - health,skyhighperformers,249.77,64.00,UNKNOWN,151.29,6.00,11.06,Request promotion,389,health-supplement,HIGH,NORMAL,5/5 (100%),28.0,11.5,7.0,10.0,10.0,7.0,73.5,EVIDENCE_RICH,$151.29 net/sale; 6% cart conversion; published performance data; 1.1y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,64.0,159.85,0.606,HIGH,1
86,ProNail Complex,Deliverable,ProNailComplex,268.19,65.00,UNKNOWN,162.22,6.00,10.07,Request promotion,942,health-supplement,MEDIUM,NORMAL,5/5 (100%),28.0,11.5,7.0,10.0,10.0,7.0,73.5,EVIDENCE_RICH,$162.22 net/sale; 6% cart conversion; published performance data; 2.6y track record,vendor approval required,65.0,174.32,0.605,HIGH,1
87,ViriFlow,Supplements - health,ViriFlow,256.25,65.00,UNKNOWN,164.18,10.00,14.43,Request promotion,312,health-supplement,HIGH,NORMAL,5/5 (100%),28.0,14.5,7.0,9.0,10.0,5.0,73.5,EVIDENCE_RICH,$164.18 net/sale; 10% cart conversion; published performance data,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,65.0,166.56,0.641,HIGH,1
88,CogniCare Pro - NEW Brain Power,Supplements - health,skyhighperformers,180.95,64.00,UNKNOWN,101.75,11.00,21.96,Request promotion,837,health-supplement,HIGH,NORMAL,5/5 (100%),26.47,15,7.0,10.0,10.0,5.0,73.47,EVIDENCE_RICH,$101.75 net/sale; 11% cart conversion; published performance data; 2.3y track record,high 21.96% cancellation; vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,64.0,115.81,0.562,HIGH,1
89,Neuroxen,Supplements - health,RM7866,184.84,70.00,UNKNOWN,129.39,UNKNOWN,UNKNOWN,Promote now,395,health-supplement,HIGH,NORMAL,3/5 (60%),27.42,11.0,14.0,10.0,7.0,4.0,73.42,EVIDENCE_LIMITED,$129.39 net/sale; open promotion; 1.1y track record,no published conversion/cancellation data; HIGH preliminary risk: ingestible supplement - health claims require substantiation,70.0,129.39,0.7,HIGH,1
90,The Beginner's Guide to Woodworking with Hand Tools,E-books,darrelltee,133.37,75.00,UNKNOWN,100.03,UNKNOWN,UNKNOWN,Promote now,323,home-diy,LOW,NORMAL,3/5 (60%),28.4,11.0,14.0,9.0,7.0,4.0,73.4,EVIDENCE_LIMITED,$100.03 net/sale; open promotion,no published conversion/cancellation data,75.0,100.03,0.75,HIGH,1
91,Promote MemoryFuel Now!,Supplements - health,zenmavibe,154.72,70.00,UNKNOWN,76.63,7.00,39.96,Promote now,187,health-supplement,HIGH,NORMAL,5/5 (100%),25.35,10,14.0,9.0,10.0,5.0,73.35,EVIDENCE_RICH,$76.63 net/sale; 7% cart conversion; open promotion; published performance data,high 39.96% cancellation; HIGH preliminary risk: ingestible supplement - health claims require substantiation,70.0,108.3,0.495,HIGH,1
92,Lost Frontier Handbook,Book (printed),frontbook,49.71,75.00,UNKNOWN,25.59,3.00,1.50,Promote now,1966,other,LOW,NORMAL,5/5 (100%),23.08,14,14.0,8.0,10.0,4.0,73.08,EVIDENCE_RICH,$25.59 net/sale; 3% cart conversion; low 1.50% cancellation; open promotion; published performance data; 5.4y track record,weak 3% cart conversion,75.0,37.28,0.515,HIGH,1
93,Sleep Hacking: Fall Asleep in 10 Minutes | 75% Commissions,E-books,darrelltee,122.84,75.00,UNKNOWN,92.13,UNKNOWN,UNKNOWN,Promote now,323,mental-wellbeing,MEDIUM,NORMAL,3/5 (60%),28.07,11.0,14.0,9.0,7.0,4.0,73.07,EVIDENCE_LIMITED,$92.13 net/sale; open promotion,no published conversion/cancellation data,75.0,92.13,0.75,HIGH,2
94,The Desk Job Survival Guide | Earn 75% Commissions,E-books,darrelltee,122.84,75.00,UNKNOWN,92.13,UNKNOWN,UNKNOWN,Promote now,323,survival-preparedness,MEDIUM,NORMAL,3/5 (60%),28.07,11.0,14.0,9.0,7.0,4.0,73.07,EVIDENCE_LIMITED,$92.13 net/sale; open promotion,no published conversion/cancellation data,75.0,92.13,0.75,HIGH,2
95,Claritox,Supplements - health,ClaritoxPro,182.19,55.00,UNKNOWN,128.67,5.00,11.70,Request promotion,846,health-supplement,HIGH,NORMAL,5/5 (100%),27.39,11.5,7.0,10.0,10.0,7.0,72.89,EVIDENCE_RICH,$128.67 net/sale; 5% cart conversion; published performance data; 2.3y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,55.0,100.2,0.706,HIGH,1
96,Promote Dark Reset Now!,E-books,Dark-Reset,41.41,85.00,UNKNOWN,27.50,16.00,15.11,Request promotion,355,other,LOW,NORMAL,5/5 (100%),23.35,19.5,7.0,9.0,10.0,4.0,72.85,EVIDENCE_RICH,$27.50 net/sale; 16% cart conversion; published performance data,vendor approval required,85.0,35.2,0.664,HIGH,1
97,CelluCare,Supplements - health,skyhighperformers,158.98,64.00,UNKNOWN,127.05,5.00,10.87,Request promotion,789,health-supplement,HIGH,NORMAL,5/5 (100%),27.34,11.5,7.0,10.0,10.0,7.0,72.84,EVIDENCE_RICH,$127.05 net/sale; 5% cart conversion; published performance data; 2.2y track record,vendor approval required; HIGH preliminary risk: ingestible supplement - health claims require substantiation,64.0,101.75,0.799,HIGH,1
98,SeroBurn,Supplements - for slimming,seroburn,171.98,65.00,UNKNOWN,111.78,UNKNOWN,UNKNOWN,Promote now,616,weight-loss,HIGH,NORMAL,3/5 (60%),26.84,11.0,14.0,10.0,7.0,4.0,72.84,EVIDENCE_LIMITED,$111.78 net/sale; open promotion; 1.7y track record,no published conversion/cancellation data; HIGH preliminary risk: aggressive weight-loss claims,65.0,111.79,0.65,HIGH,1
99,FullyVital Hair Serum,Deliverable,fullyvital25,182.50,60.00,UNKNOWN,109.50,UNKNOWN,UNKNOWN,Promote now,712,health-supplement,MEDIUM,NORMAL,3/5 (60%),26.76,11.0,14.0,10.0,7.0,4.0,72.76,EVIDENCE_LIMITED,$109.50 net/sale; open promotion; 2.0y track record,no published conversion/cancellation data,60.0,109.5,0.6,HIGH,1
100,10-Video Course PLR + MRR Bundle - Start Making Money NOW!,Downloads,HeikoBoos,215.96,50.00,UNKNOWN,107.98,UNKNOWN,UNKNOWN,Promote now,670,education-courses,LOW,NORMAL,3/5 (60%),26.7,11.0,14.0,10.0,7.0,4.0,72.7,EVIDENCE_LIMITED,$107.98 net/sale; open promotion; 1.8y track record,no published conversion/cancellation data,50.0,107.98,0.5,HIGH,1
